time,low,high,open,close,volume
2020-12-15 11:13:00,89.74,90.4,90.4,90.0,438.812
2020-12-15 11:14:00,88.5,89.65,88.854,89.321,814.092
2020-12-15 11:15:00,88.45,89.187,89.187,88.503,301.885
2020-12-15 11:16:00,88.502,88.503,88.503,88.502,16.152
2020-12-15 11:17:00,88.502,88.75,88.502,88.502,145.384
2020-12-15 11:18:00,88.5,88.502,88.502,88.5,160.273
2020-12-15 11:19:00,88.5,88.501,88.5,88.501,40.288
2020-12-15 11:20:00,88.5,88.501,88.5,88.501,168.704
2020-12-15 11:21:00,88.324,88.5,88.5,88.324,85.633
2020-12-15 11:22:00,87.966,88.324,88.002,87.966,62.078
2020-12-15 11:23:00,87.999,88.001,88.0,88.001,19.753
2020-12-15 11:24:00,88.194,88.379,88.194,88.379,123.52
2020-12-15 11:26:00,88.2,88.4,88.4,88.2,59.967
2020-12-15 11:27:00,87.951,88.2,88.2,88.0,242.982
2020-12-15 11:28:00,87.816,88.0,88.0,87.816,16.5
2020-12-15 11:33:00,87.813,87.816,87.816,87.813,7.337
2020-12-15 11:34:00,87.81,87.81,87.81,87.81,2.0
2020-12-15 11:35:00,87.7,87.81,87.81,87.808,28.658
2020-12-15 11:36:00,87.808,87.809,87.808,87.808,39.056
2020-12-15 11:37:00,87.805,87.809,87.809,87.807,31.029
2020-12-15 11:38:00,87.75,87.807,87.807,87.75,165.5
2020-12-15 11:39:00,87.806,87.807,87.806,87.807,19.947
2020-12-15 11:40:00,87.75,87.807,87.806,87.806,80.945
2020-12-15 11:41:00,87.75,87.805,87.805,87.75,14.196
2020-12-15 11:42:00,87.75,87.804,87.803,87.803,15.392
2020-12-15 11:43:00,87.8,88.245,87.801,88.146,113.386
2020-12-15 11:44:00,88.121,88.596,88.121,88.596,49.651
2020-12-15 11:45:00,88.083,88.123,88.123,88.083,19.218
2020-12-15 11:46:00,88.0,88.102,88.0,88.102,31.66
2020-12-15 11:47:00,88.054,88.114,88.054,88.063,146.65
2020-12-15 11:49:00,88.001,88.572,88.08,88.1,127.567
2020-12-15 11:50:00,88.1,89.116,88.178,89.116,87.759
2020-12-15 11:51:00,88.101,88.2,88.131,88.2,75.6
2020-12-15 11:52:00,88.2,88.286,88.2,88.286,83.023
2020-12-15 11:53:00,88.05,88.286,88.2,88.05,45.876
2020-12-15 11:54:00,88.05,88.194,88.05,88.194,18.094
2020-12-15 11:55:00,88.001,88.05,88.05,88.001,32.0
2020-12-15 11:56:00,88.0,88.579,88.194,88.579,66.976
2020-12-15 11:58:00,88.041,88.377,88.166,88.041,78.691
2020-12-15 11:59:00,88.01,88.5,88.04,88.347,213.314
2020-12-15 12:00:00,88.0,88.011,88.01,88.0,167.593
2020-12-15 12:01:00,88.0,88.407,88.0,88.0,366.121
2020-12-15 12:02:00,86.595,88.0,88.0,87.059,365.187
2020-12-15 12:03:00,86.899,87.051,87.051,86.899,188.95
2020-12-15 12:05:00,86.899,88.205,86.899,87.378,380.447
2020-12-15 12:07:00,87.391,87.429,87.392,87.391,67.57
2020-12-15 12:08:00,86.498,87.377,87.377,87.013,243.174
2020-12-15 12:09:00,87.011,87.224,87.224,87.011,12.04
2020-12-15 12:12:00,86.905,86.905,86.905,86.905,3.701
2020-12-15 12:14:00,86.874,87.521,86.874,87.004,69.248
2020-12-15 12:15:00,86.69,86.948,86.849,86.948,29.523
2020-12-15 12:17:00,87.095,87.096,87.095,87.096,16.003
2020-12-15 12:18:00,87.312,87.312,87.312,87.312,0.113
2020-12-15 12:19:00,87.339,87.339,87.339,87.339,16.391
2020-12-15 12:20:00,87.34,87.408,87.34,87.354,30.262
2020-12-15 12:25:00,87.212,87.545,87.408,87.497,149.467
