,Date,Low,High,Open,Close,Volume,Return
19,2021-03-29 15:51:00,33587.13,33616.84,33609.53,33587.13,0.080436,-0.0008252300246885946
20,2021-03-29 15:52:00,33581.31,33610.31,33592.54,33610.3,0.149803,0.0006898475695900075
21,2021-03-29 15:53:00,33571.87,33606.42,33597.86,33571.87,0.095115,-0.0011433994936076441
22,2021-03-29 15:54:00,33591.32,33636.43,33591.32,33626.58,0.014128,0.0016296381464599996
23,2021-03-29 15:55:00,33573.36,33626.58,33626.58,33580.23,0.097358,-0.0013783738935091439
24,2021-03-29 15:56:00,33575.72,33604.95,33604.95,33575.72,0.098652,-0.0001343052147052548
25,2021-03-29 15:58:00,33558.54,33604.7,33587.05,33558.54,0.049776,-0.0005116792729984443
26,2021-03-29 15:59:00,33632.95,33675.6,33635.69,33675.6,0.524593,0.0034882328015461983
27,2021-03-29 16:00:00,33660.93,33811.94,33660.93,33756.16,0.908933,0.0023922365154593894
28,2021-03-29 16:01:00,33748.33,33858.72,33757.13,33858.72,0.357969,0.003038260276050364
29,2021-03-29 16:02:00,33804.63,33838.56,33819.85,33838.55,0.260388,-0.0005957106470652063
30,2021-03-29 16:03:00,33714.91,33838.56,33838.56,33832.75,0.114137,-0.00017140214341349047
31,2021-03-29 16:04:00,33803.14,33827.64,33825.95,33803.98,0.401335,-0.0008503594889566202
32,2021-03-29 16:05:00,33798.36,33812.23,33812.23,33798.36,0.059169,-0.00016625261285807547
33,2021-03-29 16:06:00,33792.82,33868.81,33792.82,33868.81,0.434076,0.0020844206641978946
34,2021-03-29 16:07:00,33867.38,33909.13,33878.88,33867.38,0.107017,-4.222173734480528e-05
35,2021-03-29 16:08:00,33768.11,33817.81,33817.81,33792.31,0.10139,-0.002216587170309592
36,2021-03-29 16:09:00,33777.96,33825.17,33777.96,33821.89,0.213016,0.0008753470834044208
37,2021-03-29 16:10:00,33815.15,33819.4,33815.15,33819.39,0.028627,-7.391662618494443e-05
38,2021-03-29 16:11:00,33776.7,33824.63,33824.63,33776.7,0.1202,-0.0012622936132201668
39,2021-03-29 16:12:00,33789.49,33837.74,33793.16,33837.74,0.255176,0.0018071629259224231
40,2021-03-29 16:13:00,33825.3,33855.87,33829.22,33833.32,0.061903,-0.00013062338087588277
41,2021-03-29 16:14:00,33832.56,33888.93,33832.56,33888.93,0.001694,0.0016436459679394222
42,2021-03-29 16:15:00,33838.42,33904.04,33880.73,33838.87,0.342792,-0.0014771785358816958
43,2021-03-29 16:16:00,33794.79,33848.62,33838.85,33808.68,0.37669,-0.000892169271609955
44,2021-03-29 16:17:00,33814.68,33837.81,33817.95,33814.68,0.084222,0.0001774692179641324
45,2021-03-29 16:18:00,33765.37,33808.52,33808.51,33765.37,0.184879,-0.0014582423964975
46,2021-03-29 16:19:00,33712.43,33780.04,33780.04,33733.2,0.197284,-0.0009527512951881256
47,2021-03-29 16:20:00,33640.0,33732.39,33711.63,33732.39,0.441762,-2.401195261636513e-05
48,2021-03-29 16:21:00,33730.45,33776.8,33730.92,33742.18,0.076782,0.00029022550729429497
49,2021-03-29 16:22:00,33703.34,33762.06,33703.34,33762.06,0.011656,0.0005891735507308482
50,2021-03-29 16:23:00,33689.83,33729.86,33729.86,33700.16,0.0748,-0.0018334189323754302
51,2021-03-29 16:24:00,33703.96,33772.85,33721.19,33772.85,0.311382,0.0021569630529942874
52,2021-03-29 16:25:00,33855.27,33929.31,33855.27,33885.35,0.189534,0.0033310780701065745
53,2021-03-29 16:26:00,33854.24,33920.16,33867.4,33854.24,0.040038,-0.0009180958732903921
54,2021-03-29 16:27:00,33843.64,33901.96,33876.2,33884.17,0.010224,0.0008840842387836112
55,2021-03-29 16:28:00,33929.31,33929.31,33929.31,33929.31,8e-06,0.0013321855013712636
56,2021-03-29 16:29:00,33876.31,33915.55,33915.55,33897.47,0.065159,-0.0009384216773048459
57,2021-03-29 16:30:00,33937.67,33959.57,33937.67,33959.57,0.012894,0.001831995131200026
58,2021-03-29 16:31:00,33962.76,33999.91,33962.76,33999.85,0.001799,0.0011861163141935194
59,2021-03-29 16:32:00,34009.92,34090.68,34009.92,34066.91,0.322189,0.001972361642772036
60,2021-03-29 16:33:00,34099.99,34189.73,34099.99,34134.88,0.459348,0.001995191228086002
61,2021-03-29 16:34:00,34124.66,34157.01,34140.25,34157.01,0.437656,0.0006483104671821671
62,2021-03-29 16:35:00,34112.24,34231.89,34112.24,34225.22,0.229587,0.0019969546514755354
63,2021-03-29 16:36:00,34190.88,34486.84,34205.4,34367.89,0.977888,0.004168563416100612
64,2021-03-29 16:37:00,34314.94,34615.27,34367.89,34483.44,1.676469,0.003362149960326466
65,2021-03-29 16:38:00,34492.75,34617.99,34517.92,34617.99,1.418658,0.0039018728989914653
66,2021-03-29 16:39:00,34538.31,34618.0,34615.47,34544.85,1.287766,-0.002112774311853416
67,2021-03-29 16:40:00,34537.51,34563.06,34549.71,34537.52,0.474407,-0.0002121879238150548
68,2021-03-29 16:41:00,34484.9,34562.18,34552.53,34553.89,0.622147,0.0004739772861515057
69,2021-03-29 16:42:00,34516.4,34551.18,34551.18,34516.4,0.53427,-0.0010849719090961774
70,2021-03-29 16:43:00,34505.74,34540.23,34539.92,34519.85,0.163033,9.995248635430443e-05
71,2021-03-29 16:44:00,34517.55,34549.98,34519.83,34530.97,0.273273,0.0003221334971039713
72,2021-03-29 16:45:00,34453.81,34532.45,34527.25,34496.14,0.779019,-0.0010086597625262872
73,2021-03-29 16:46:00,34479.22,34624.81,34479.22,34587.58,1.216284,0.0026507313571895175
74,2021-03-29 16:47:00,34591.84,34650.87,34599.15,34639.97,0.468699,0.001514705567721153
75,2021-03-29 16:48:00,34606.79,34691.74,34639.97,34670.01,0.924318,0.0008672062937700176
76,2021-03-29 16:49:00,34630.1,34691.82,34691.82,34633.61,0.3672,-0.001049898745342226
77,2021-03-29 16:50:00,34658.14,34693.0,34658.14,34671.72,0.730835,0.0011003761952623758
78,2021-03-29 16:51:00,34658.55,34705.44,34673.45,34705.44,1.316958,0.000972550539748207
79,2021-03-29 16:52:00,34634.21,34736.19,34705.93,34646.58,0.163067,-0.001695987718351999
80,2021-03-29 16:53:00,34639.69,34850.99,34643.52,34833.93,1.085217,0.00540746013026383
81,2021-03-29 16:54:00,34813.1,34961.56,34813.1,34927.19,1.033833,0.0026772747146246445
82,2021-03-29 16:55:00,34799.81,34987.66,34946.78,34905.64,2.646732,-0.0006169978174598301
83,2021-03-29 16:56:00,34896.36,34999.57,34904.21,34957.69,0.912064,0.0014911630326790437
84,2021-03-29 16:57:00,34946.36,35044.0,34986.93,34991.32,3.402635,0.0009620200877116236
85,2021-03-29 16:58:00,34878.22,35004.46,35004.46,34991.88,0.669915,1.600396898426837e-05
86,2021-03-29 16:59:00,34935.28,34994.28,34994.28,34935.28,0.380891,-0.001617518121346917
