,Date,Low,High,Open,Close,Volume,Return
0,2021-03-29 15:29:00,153.56,154.12,153.63,154.12,63.92523526,0.002080624187256186
1,2021-03-29 15:30:00,153.88,154.81,154.11,154.73,215.67049399,0.003957954840384081
2,2021-03-29 15:31:00,154.69,154.93,154.82,154.93,49.22258,0.0012925741614426833
3,2021-03-29 15:32:00,154.91,155.66,154.93,155.66,73.06181,0.004711805331439889
4,2021-03-29 15:33:00,155.27,155.95,155.59,155.84,445.59860505,0.0011563664396763151
5,2021-03-29 15:34:00,154.92,155.9,155.5,155.82,329.19428,-0.00012833675564682956
6,2021-03-29 15:35:00,155.6,155.86,155.86,155.86,15.22614,0.00025670645616759913
7,2021-03-29 15:36:00,155.59,155.8,155.74,155.64,15.79241,-0.0014115231618120339
8,2021-03-29 15:37:00,155.11,155.34,155.22,155.2,68.17566281,-0.002827036751477774
9,2021-03-29 15:38:00,155.36,155.75,155.4,155.62,11.20212,0.0027061855670105217
10,2021-03-29 15:39:00,155.1,155.68,155.68,155.27,120.6141,-0.0022490682431564046
11,2021-03-29 15:40:00,155.39,155.74,155.39,155.63,274.18226125,0.0023185418947637704
12,2021-03-29 15:41:00,155.43,155.73,155.63,155.51,137.12046,-0.0007710595643514173
13,2021-03-29 15:42:00,155.23,155.63,155.54,155.47,67.84976,-0.0002572181853256472
14,2021-03-29 15:43:00,155.41,155.64,155.63,155.41,45.14216906,-0.0003859265453142191
15,2021-03-29 15:44:00,155.39,155.81,155.42,155.81,253.83919,0.0025738369474295197
16,2021-03-29 15:45:00,155.82,156.76,155.82,156.36,205.4311527,0.0035299403119184447
17,2021-03-29 15:46:00,156.09,156.76,156.66,156.09,63.00063305,-0.0017267843438220076
18,2021-03-29 15:47:00,155.6,156.29,155.86,155.92,184.11758,-0.0010891152540202231
19,2021-03-29 15:48:00,155.78,156.25,155.92,156.08,42.2396,0.0010261672652644993
20,2021-03-29 15:49:00,155.39,156.05,156.05,155.39,40.831,-0.004420809841107265
21,2021-03-29 15:50:00,155.0,155.37,155.33,155.27,142.09965,-0.0007722504665678143
22,2021-03-29 15:51:00,155.26,155.64,155.26,155.44,31.0543,0.0010948670058605892
23,2021-03-29 15:52:00,155.02,155.38,155.33,155.06,61.10878635,-0.00244467318579511
24,2021-03-29 15:53:00,155.13,155.74,155.13,155.74,28.21405,0.004385399200309559
25,2021-03-29 15:54:00,155.7,156.66,155.7,156.46,165.66416155,0.004623089764993038
26,2021-03-29 15:55:00,156.56,156.73,156.67,156.73,8.42874,0.0017256806851591033
27,2021-03-29 15:56:00,156.59,157.19,156.74,157.13,90.76049,0.0025521597652014005
28,2021-03-29 15:57:00,156.77,157.53,157.06,157.53,110.58877388,0.0025456628269586723
29,2021-03-29 15:58:00,157.08,157.72,157.54,157.68,79.95324,0.0009521995810322093
30,2021-03-29 15:59:00,156.76,157.41,157.37,157.28,66.0474288,-0.0025367833587012223
31,2021-03-29 16:00:00,157.09,157.92,157.35,157.29,251.56268218,6.358087487279285e-05
32,2021-03-29 16:01:00,156.87,157.91,157.52,157.13,681.18996852,-0.0010172293216351713
33,2021-03-29 16:02:00,156.87,157.46,157.23,157.46,140.65987,0.0021001718322408713
34,2021-03-29 16:03:00,156.53,157.38,157.23,157.25,139.57358,-0.0013336720436937233
35,2021-03-29 16:04:00,156.87,157.52,157.32,157.16,126.17481,-0.0005723370429252528
36,2021-03-29 16:05:00,156.68,157.69,157.24,156.97,204.30446,-0.0012089590226520563
37,2021-03-29 16:06:00,157.28,158.04,157.4,157.75,178.09901631,0.004969102376250145
38,2021-03-29 16:07:00,157.8,158.37,157.99,158.06,396.93814042,0.0019651347068145864
39,2021-03-29 16:08:00,157.45,158.11,158.01,157.98,202.90838,-0.000506136910034205
40,2021-03-29 16:09:00,158.0,158.4,158.0,158.23,204.09296753,0.0015824787947842367
41,2021-03-29 16:10:00,158.27,159.7,158.27,159.19,518.82081333,0.006067117487202234
42,2021-03-29 16:11:00,158.54,159.35,159.28,158.56,343.14998,-0.003957535021044012
43,2021-03-29 16:12:00,158.0,159.08,158.53,158.98,841.52660802,0.0026488395560040345
44,2021-03-29 16:13:00,157.74,159.4,159.08,157.9,280.41644,-0.00679330733425576
45,2021-03-29 16:14:00,156.09,157.9,157.71,156.63,438.8725371,-0.008043065231159052
46,2021-03-29 16:15:00,155.05,156.61,156.61,155.62,191.43153,-0.00644831769137455
47,2021-03-29 16:16:00,154.83,155.84,155.61,154.97,263.50149,-0.0041768410230047515
48,2021-03-29 16:17:00,154.68,155.42,154.99,154.88,131.9875,-0.0005807575659805275
49,2021-03-29 16:18:00,154.16,154.91,154.74,154.16,125.02112,-0.004648760330578483
50,2021-03-29 16:19:00,154.02,154.61,154.19,154.32,93.82663,0.0010378827192527584
51,2021-03-29 16:20:00,153.16,154.06,154.06,153.71,189.42033,-0.00395282529808183
52,2021-03-29 16:21:00,153.81,154.15,153.97,154.01,39.5571,0.0019517272786415685
53,2021-03-29 16:22:00,153.65,154.87,154.04,153.74,992.66673,-0.0017531329134470308
54,2021-03-29 16:23:00,152.96,153.99,153.94,153.07,128.99006273,-0.0043580070248472325
55,2021-03-29 16:24:00,152.15,153.06,153.06,152.39,83.70602826,-0.004442411968380577
56,2021-03-29 16:25:00,152.06,153.53,152.36,152.64,1110.61581626,0.0016405275936741681
57,2021-03-29 16:26:00,152.85,153.32,153.02,153.05,294.21696,0.0026860587002097702
58,2021-03-29 16:27:00,152.91,153.29,152.91,153.04,30.89954,-6.533812479592171e-05
59,2021-03-29 16:28:00,153.02,153.83,153.29,153.02,64.64815,-0.00013068478829048047
60,2021-03-29 16:29:00,152.46,153.0,153.0,152.46,138.05027,-0.0036596523330283404
61,2021-03-29 16:30:00,152.55,152.97,152.55,152.8,33.54783237,0.0022300931391840972
62,2021-03-29 16:31:00,152.53,152.8,152.8,152.54,80.82058764,-0.0017015706806283726
63,2021-03-29 16:32:00,152.54,153.46,152.54,153.46,62.67645558,0.006031204929854539
